Ewe/V,Capacity/mA.h
2.89E-01,0.110527663
2.88E-01,0.110667761
2.88E-01,0.110807856
2.88E-01,0.110947953
2.88E-01,0.111088051
2.88E-01,0.111228151
2.88E-01,0.111368252
2.88E-01,0.111508353
2.88E-01,0.111648452
2.88E-01,0.111788548
2.88E-01,0.111928646
2.87E-01,0.112068744
2.87E-01,0.112208844
2.87E-01,0.112348941
2.87E-01,0.112489039
2.87E-01,0.112629141
2.87E-01,0.112769246
2.87E-01,0.112909347
2.87E-01,0.113049449
2.87E-01,0.113189551
2.87E-01,0.113329649
2.86E-01,0.113469745
2.86E-01,0.113609846
2.86E-01,0.113749946
2.86E-01,0.113890044
2.86E-01,0.114030141
2.86E-01,0.114170238
2.86E-01,0.114310335
2.86E-01,0.114450434
2.86E-01,0.11459053
2.85E-01,0.114730627
2.85E-01,0.114870722
2.85E-01,0.115010819
2.85E-01,0.115150918
2.85E-01,0.115291017
2.85E-01,0.115431115
2.85E-01,0.115571213
2.85E-01,0.115711311
2.85E-01,0.115851404
2.84E-01,0.115991499
2.84E-01,0.116131591
2.84E-01,0.116271685
2.84E-01,0.11641178
2.84E-01,0.116551875
2.84E-01,0.116691968
2.84E-01,0.116832063
2.84E-01,0.116972157
2.84E-01,0.11711225
2.84E-01,0.117252345
2.83E-01,0.117392443
2.83E-01,0.117532545
2.83E-01,0.117672647
2.83E-01,0.117812751
2.83E-01,0.11795285
2.83E-01,0.118092945
2.83E-01,0.118233046
2.83E-01,0.118373151
2.83E-01,0.118513252
2.82E-01,0.118653353
2.82E-01,0.118793452
2.82E-01,0.118933552
2.82E-01,0.119073653
2.82E-01,0.119213753
2.82E-01,0.11935386
2.82E-01,0.119493965
2.82E-01,0.119634068
2.82E-01,0.119774171
2.82E-01,0.119914272
2.82E-01,0.120054375
2.81E-01,0.120194476
2.81E-01,0.120334576
2.81E-01,0.120474673
2.81E-01,0.120614771
2.81E-01,0.120754867
2.81E-01,0.120894969
2.81E-01,0.12103507
2.81E-01,0.121175173
2.81E-01,0.121315274
2.81E-01,0.121455373
2.80E-01,0.121595469
2.80E-01,0.121735568
2.80E-01,0.121875668
2.80E-01,0.122015767
2.80E-01,0.122155866
2.80E-01,0.122295965
2.80E-01,0.122436068
2.80E-01,0.122576169
2.80E-01,0.122716268
2.80E-01,0.122856367
2.79E-01,0.122996465
2.79E-01,0.123136564
2.79E-01,0.123276662
2.79E-01,0.123416758
2.79E-01,0.123556854
2.79E-01,0.123696956
2.79E-01,0.123837058
2.79E-01,0.123977155
2.79E-01,0.124117255
2.79E-01,0.124257354
2.78E-01,0.124397452
2.78E-01,0.124537548
2.78E-01,0.124677641
2.78E-01,0.124817737
2.78E-01,0.124957837
2.78E-01,0.125097937
2.78E-01,0.125238035
2.78E-01,0.125378137
2.77E-01,0.12551824
2.78E-01,0.125658343
2.77E-01,0.125798442
2.77E-01,0.125938536
2.77E-01,0.126078631
2.77E-01,0.126218726
2.77E-01,0.126358823
2.77E-01,0.12649892
2.77E-01,0.12663902
2.77E-01,0.126779118
2.76E-01,0.126919217
2.76E-01,0.127059319
2.76E-01,0.127199422
2.76E-01,0.127339523
2.76E-01,0.12747962
2.76E-01,0.127619717
2.76E-01,0.127759816
2.76E-01,0.127899916
2.76E-01,0.128040017
2.76E-01,0.128180118
2.76E-01,0.128320217
2.75E-01,0.128460318
2.75E-01,0.128600415
2.75E-01,0.128740516
2.75E-01,0.128880618
2.75E-01,0.12902072
2.75E-01,0.12916082
2.75E-01,0.129300919
2.75E-01,0.129441018
2.74E-01,0.129581118
2.74E-01,0.129721217
2.74E-01,0.129861318
2.74E-01,0.130001418
2.74E-01,0.130141517
2.74E-01,0.130281614
2.74E-01,0.130421711
2.74E-01,0.130561804
2.74E-01,0.1307019
2.74E-01,0.130841997
2.73E-01,0.130982097
