Ewe/V,Capacity/mA.h
9.42E-02,0.905337622
9.42E-02,0.90519591
9.42E-02,0.905054198
9.41E-02,0.904912488
9.42E-02,0.904770778
9.43E-02,0.904629067
9.41E-02,0.904487359
9.42E-02,0.904345642
9.42E-02,0.904203926
9.43E-02,0.904062212
9.43E-02,0.903920501
9.43E-02,0.903778789
9.43E-02,0.903637076
9.43E-02,0.90349536
9.43E-02,0.903353644
9.41E-02,0.903211929
9.44E-02,0.90307021
9.43E-02,0.902928491
9.42E-02,0.902786777
9.43E-02,0.902645066
9.43E-02,0.902503351
9.43E-02,0.90236164
9.42E-02,0.902219928
9.44E-02,0.902078216
9.44E-02,0.901936505
9.44E-02,0.901794789
9.44E-02,0.901653072
9.43E-02,0.901511355
9.43E-02,0.901369641
9.44E-02,0.901227928
9.43E-02,0.901086214
9.45E-02,0.900944501
9.42E-02,0.900802788
9.43E-02,0.900661074
9.43E-02,0.90051936
9.42E-02,0.900377645
9.44E-02,0.900235928
9.44E-02,0.900094211
9.43E-02,0.899952492
9.44E-02,0.899810775
9.43E-02,0.899669059
9.43E-02,0.899527346
9.43E-02,0.899385637
9.45E-02,0.899243922
9.44E-02,0.899102207
9.45E-02,0.898960492
9.43E-02,0.898818775
9.45E-02,0.898677058
9.45E-02,0.898535338
9.44E-02,0.89839362
9.44E-02,0.898251903
9.44E-02,0.898110188
9.44E-02,0.89796847
9.44E-02,0.89782675
9.44E-02,0.897685034
9.44E-02,0.897543319
9.44E-02,0.897401602
9.45E-02,0.897259887
9.44E-02,0.897118175
9.44E-02,0.896976463
9.45E-02,0.896834751
9.45E-02,0.896693035
9.45E-02,0.89655132
9.44E-02,0.896409609
9.45E-02,0.896267896
9.45E-02,0.896126183
9.45E-02,0.895984468
9.44E-02,0.895842755
9.45E-02,0.895701045
9.45E-02,0.895559333
9.44E-02,0.895417622
9.45E-02,0.895275909
9.44E-02,0.895134192
9.45E-02,0.894992477
9.45E-02,0.894850763
9.45E-02,0.894709049
9.45E-02,0.894567336
9.45E-02,0.894425625
9.47E-02,0.894283912
9.44E-02,0.894142199
9.45E-02,0.894000484
9.45E-02,0.893858769
9.44E-02,0.89371705
9.45E-02,0.893575334
9.46E-02,0.893433619
9.45E-02,0.893291901
9.45E-02,0.893150184
9.45E-02,0.893008468
9.46E-02,0.892866755
9.45E-02,0.892725042
9.45E-02,0.892583327
9.45E-02,0.892441609
9.46E-02,0.892299896
9.46E-02,0.892158184
9.46E-02,0.89201647
9.46E-02,0.891874757
9.46E-02,0.891733043
9.45E-02,0.891591326
9.46E-02,0.89144961
9.45E-02,0.891307889
9.46E-02,0.891166169
9.47E-02,0.891024451
9.46E-02,0.890882734
9.46E-02,0.890741018
9.46E-02,0.890599304
9.46E-02,0.890457591
9.46E-02,0.890315878
9.46E-02,0.890174162
9.46E-02,0.890032441
9.46E-02,0.889890722
9.46E-02,0.889749005
9.45E-02,0.889607288
9.46E-02,0.889465573
9.47E-02,0.889323857
9.46E-02,0.889182143
9.45E-02,0.889040428
9.47E-02,0.888898713
9.46E-02,0.888756998
9.47E-02,0.888615283
9.46E-02,0.888473562
9.46E-02,0.888331845
9.46E-02,0.888190127
9.48E-02,0.88804841
9.48E-02,0.887906694
9.47E-02,0.887764977
9.47E-02,0.887623259
9.47E-02,0.887481537
9.47E-02,0.887339819
9.46E-02,0.887198104
9.47E-02,0.887056386
9.47E-02,0.886914668
9.49E-02,0.886772953
9.47E-02,0.886631238
9.47E-02,0.886489523
9.48E-02,0.886347809
9.47E-02,0.886206096
9.46E-02,0.886064387
9.48E-02,0.885922674
9.47E-02,0.885780958
9.47E-02,0.885639242
9.48E-02,0.885497528
9.48E-02,0.885355811
9.48E-02,0.885214094
9.48E-02,0.885072381
9.48E-02,0.88493067
9.47E-02,0.884788959
9.47E-02,0.884647249
9.48E-02,0.884505537
9.48E-02,0.884363825
9.49E-02,0.884222113
9.48E-02,0.8840804
9.48E-02,0.883938681
9.48E-02,0.883796963
9.48E-02,0.883655245
9.48E-02,0.883513525
9.48E-02,0.883371806
9.48E-02,0.88323009
9.48E-02,0.883088374
9.49E-02,0.882946661
9.47E-02,0.882804946
9.48E-02,0.882663232
9.48E-02,0.882521514
9.47E-02,0.882379796
9.48E-02,0.882238081
9.49E-02,0.882096364
9.48E-02,0.881954649
9.49E-02,0.881812933
9.47E-02,0.881671221
9.49E-02,0.881529505
9.49E-02,0.881387793
9.48E-02,0.881246081
9.48E-02,0.881104362
9.49E-02,0.880962642
9.49E-02,0.880820925
9.48E-02,0.880679212
9.49E-02,0.880537499
9.48E-02,0.880395784
9.48E-02,0.880254067
9.48E-02,0.880112349
9.48E-02,0.879970632
9.49E-02,0.879828913
9.49E-02,0.879687196
9.48E-02,0.879545477
9.47E-02,0.879403753
9.49E-02,0.879262031
